,train,val,test
Col_PNI2021chall_test_0015.svs,True,False,False
Col_PNI2021chall_test_0016.svs,True,False,False
Col_PNI2021chall_test_0017.svs,True,False,False
Col_PNI2021chall_test_0018.svs,True,False,False
Col_PNI2021chall_test_0020.svs,True,False,False
Col_PNI2021chall_train_0006.svs,True,False,False
Col_PNI2021chall_train_0010.svs,True,False,False
Col_PNI2021chall_train_0011.svs,True,False,False
Col_PNI2021chall_train_0012.svs,True,False,False
Col_PNI2021chall_train_0015.svs,True,False,False
Col_PNI2021chall_train_0016.svs,True,False,False
Col_PNI2021chall_train_0024.svs,True,False,False
Col_PNI2021chall_train_0026.svs,True,False,False
Col_PNI2021chall_train_0029.svs,True,False,False
Col_PNI2021chall_train_0031.svs,True,False,False
Col_PNI2021chall_train_0033.svs,True,False,False
Col_PNI2021chall_train_0035.svs,True,False,False
Col_PNI2021chall_train_0036.svs,True,False,False
Col_PNI2021chall_train_0046.svs,True,False,False
Col_PNI2021chall_train_0047.svs,True,False,False
Col_PNI2021chall_validation_0009.svs,True,False,False
Col_PNI2021chall_test_0012.svs,True,False,False
Col_PNI2021chall_test_0014.svs,True,False,False
Col_PNI2021chall_train_0004.svs,True,False,False
Col_PNI2021chall_train_0008.svs,True,False,False
Col_PNI2021chall_train_0013.svs,True,False,False
Col_PNI2021chall_train_0014.svs,True,False,False
Col_PNI2021chall_train_0017.svs,True,False,False
Col_PNI2021chall_train_0022.svs,True,False,False
Col_PNI2021chall_train_0023.svs,True,False,False
Col_PNI2021chall_train_0025.svs,True,False,False
Col_PNI2021chall_train_0027.svs,True,False,False
Col_PNI2021chall_train_0030.svs,True,False,False
Col_PNI2021chall_train_0032.svs,True,False,False
Col_PNI2021chall_train_0034.svs,True,False,False
Col_PNI2021chall_train_0037.svs,True,False,False
Col_PNI2021chall_train_0042.svs,True,False,False
Col_PNI2021chall_train_0043.svs,True,False,False
Col_PNI2021chall_train_0050.svs,True,False,False
Col_PNI2021chall_validation_0001.svs,True,False,False
Col_PNI2021chall_validation_0008.svs,True,False,False
Col_PNI2021chall_validation_0010.svs,True,False,False
Col_PNI2021chall_train_0028.svs,False,True,False
Col_PNI2021chall_test_0013.svs,False,True,False
Col_PNI2021chall_train_0009.svs,False,True,False
Col_PNI2021chall_train_0005.svs,False,True,False
Col_PNI2021chall_train_0048.svs,False,False,True
Col_PNI2021chall_train_0049.svs,False,False,True
Col_PNI2021chall_train_0007.svs,False,False,True
Col_PNI2021chall_test_0019.svs,False,False,True
